price,title,rooms,area_m2,floor,total_floors,url,listing_id,floor_info,district,city,price_per_m2,is_first_floor,is_last_floor,room_type
48000000,3-комнатная квартира · 60.4 м² · 5/5 этаж,3,60.4,5.0,5.0,https://krisha.kz/a/show/1010876951,1010876951,"Бостандыкский р-н, мкр Орбита-3 — Саина-Торайгырова",Бостандыкский,Алматы,794702.0,0,1,3-комн
122000000,4-комнатная квартира · 104.9 м² · 2/3 этаж,4,104.9,2.0,3.0,https://krisha.kz/a/show/694539809,694539809,"Бостандыкский р-н, мкр Ерменсай, Талды",Бостандыкский,Алматы,1163012.0,0,0,4+ комн
77000000,2-комнатная квартира · 55 м² · 16/21 этаж,2,55.0,16.0,21.0,https://krisha.kz/a/show/684750120,684750120,"Бостандыкский р-н, Сейфуллина 574/5к8",Бостандыкский,Алматы,1400000.0,0,0,2-комн
53500000,4-комнатная квартира · 73 м² · 1/4 этаж,4,73.0,1.0,4.0,https://krisha.kz/a/show/1000597193,1000597193,"Бостандыкский р-н, бульвар Бухар жырау — Жарокова /Темирязева",Бостандыкский,Алматы,732877.0,1,0,4+ комн
62000000,2-комнатная квартира · 47.9 м² · 3/16 этаж,2,47.9,3.0,16.0,https://krisha.kz/a/show/1012220868,1012220868,"Бостандыкский р-н, Каныша Сатпаева 133/7",Бостандыкский,Алматы,1294363.0,0,0,2-комн
59000000,2-комнатная квартира · 70.6 м² · 13/15 этаж,2,70.6,13.0,15.0,https://krisha.kz/a/show/1007993069,1007993069,"Бостандыкский р-н, Навои 208/6 — Навои-Торайгырова",Бостандыкский,Алматы,835694.0,0,0,2-комн
170000000,3-комнатная квартира · 107 м² · 10/10 этаж,3,107.0,10.0,10.0,https://krisha.kz/a/show/1006652990,1006652990,"Бостандыкский р-н, Радостовца 270",Бостандыкский,Алматы,1588785.0,0,1,3-комн
40000000,2-комнатная квартира · 41.4 м² · 5/6 этаж,2,41.4,5.0,6.0,https://krisha.kz/a/show/1004310225,1004310225,"Бостандыкский р-н, Кенесары хана",Бостандыкский,Алматы,966184.0,0,0,2-комн
41100000,3-комнатная квартира · 60 м² · 5/5 этаж,3,60.0,5.0,5.0,https://krisha.kz/a/show/1012756751,1012756751,"Бостандыкский р-н, Жандарбекова 193 — Жарокова Бухар Жирау",Бостандыкский,Алматы,685000.0,0,1,3-комн
436740000,4-комнатная квартира · 174 м²,4,174.0,,,https://krisha.kz/a/show/760760733,760760733,"Бостандыкский р-н, мкр Мирас, Саина 1а/1",Бостандыкский,Алматы,2510000.0,0,0,4+ комн
71000000,2-комнатная квартира · 80.7 м² · 1/3 этаж,2,80.7,1.0,3.0,https://krisha.kz/a/show/1010436152,1010436152,"Бостандыкский р-н, ПК Горный Гигант",Бостандыкский,Алматы,879802.0,1,0,2-комн
36500000,2-комнатная квартира · 48 м² · 4/4 этаж,2,48.0,4.0,4.0,https://krisha.kz/a/show/1008825832,1008825832,"Бостандыкский р-н, Басенова — Баскнова Розыбакиева ( ИПОТЕКА-ТОРГ)",Бостандыкский,Алматы,760417.0,0,1,2-комн
37000000,2-комнатная квартира · 44.5 м² · 1/4 этаж,2,44.5,1.0,4.0,https://krisha.kz/a/show/1009214675,1009214675,"Бостандыкский р-н, Клочкова 170",Бостандыкский,Алматы,831461.0,1,0,2-комн
481100000,6-комнатная квартира · 283 м²,6,283.0,,,https://krisha.kz/a/show/1008497898,1008497898,"Бостандыкский р-н, Кожабекова 17/2",Бостандыкский,Алматы,1700000.0,0,0,4+ комн
111200000,5-комнатная квартира · 189 м² · 2/3 этаж,5,189.0,2.0,3.0,https://krisha.kz/a/show/697855927,697855927,"Бостандыкский р-н, мкр Нурлытау (Энергетик) — Напротив школы Тамос",Бостандыкский,Алматы,588360.0,0,0,4+ комн
27000000,1-комнатная квартира · 30 м² · 10/16 этаж,1,30.0,10.0,16.0,https://krisha.kz/a/show/1011551932,1011551932,"Бостандыкский р-н, Жандосова 94/8",Бостандыкский,Алматы,900000.0,0,0,1-комн
38000000,2-комнатная квартира · 51 м² · 9/16 этаж,2,51.0,9.0,16.0,https://krisha.kz/a/show/1011303688,1011303688,"Бостандыкский р-н, Утепова 31",Бостандыкский,Алматы,745098.0,0,0,2-комн
46000000,3-комнатная квартира · 62.5 м² · 5/5 этаж,3,62.5,5.0,5.0,https://krisha.kz/a/show/1007506379,1007506379,"Бостандыкский р-н, мкр Казахфильм 14",Бостандыкский,Алматы,736000.0,0,1,3-комн
51253200,2-комнатная квартира · 55.71 м²,2,55.71,,,https://krisha.kz/a/show/689196240,689196240,"Бостандыкский р-н, Радостовца 165/1",Бостандыкский,Алматы,920000.0,0,0,2-комн
